z,radEnergy
0.50156,0.1629
0.50313,0.16246
0.50469,0.16203
0.50625,0.16159
0.50781,0.16116
0.50938,0.16073
0.51094,0.16031
0.5125,0.15988
0.51406,0.15945
0.51562,0.15903
0.51719,0.15861
0.51875,0.15819
0.52031,0.15777
0.52187,0.15735
0.52344,0.15693
0.525,0.15652
0.52656,0.1561
0.52812,0.15569
0.52969,0.15528
0.53125,0.15487
0.53281,0.15446
0.53438,0.15405
0.53594,0.15365
0.5375,0.15324
0.53906,0.15284
0.54063,0.15244
0.54219,0.15204
0.54375,0.15164
0.54531,0.15124
0.54688,0.15084
0.54844,0.15045
0.55,0.15006
0.55156,0.14966
0.55312,0.14927
0.55469,0.14888
0.55625,0.14849
0.55781,0.1481
0.55937,0.14772
0.56094,0.14733
0.5625,0.14695
0.56406,0.14657
0.56563,0.14618
0.56719,0.1458
0.56875,0.14543
0.57031,0.14505
0.57188,0.14467
0.57344,0.1443
0.575,0.14392
0.57656,0.14355
0.57812,0.14318
0.57969,0.14281
0.58125,0.14244
0.58281,0.14207
0.58437,0.1417
0.58594,0.14134
0.5875,0.14097
0.58906,0.14061
0.59062,0.14024
0.59219,0.13988
0.59375,0.13952
0.59531,0.13916
0.59688,0.13881
0.59844,0.13845
0.6,0.13809
0.60156,0.13774
0.60313,0.13739
0.60469,0.13703
0.60625,0.13668
0.60781,0.13633
0.60938,0.13598
0.61094,0.13564
0.6125,0.13529
0.61406,0.13494
0.61562,0.1346
0.61719,0.13425
0.61875,0.13391
0.62031,0.13357
0.62187,0.13323
0.62344,0.13289
0.625,0.13255
0.62656,0.13222
0.62813,0.13188
0.62969,0.13154
0.63125,0.13121
0.63281,0.13088
0.63438,0.13054
0.63594,0.13021
0.6375,0.12988
0.63906,0.12955
0.64062,0.12923
0.64219,0.1289
0.64375,0.12857
0.64531,0.12825
0.64687,0.12792
0.64844,0.1276
0.65,0.12728
0.65156,0.12696
0.65312,0.12664
0.65469,0.12632
0.65625,0.126
0.65781,0.12568
0.65938,0.12537
0.66094,0.12505
0.6625,0.12474
0.66406,0.12443
0.66563,0.12411
0.66719,0.1238
0.66875,0.12349
0.67031,0.12318
0.67188,0.12287
0.67344,0.12257
0.675,0.12226
0.67656,0.12195
0.67812,0.12165
0.67969,0.12134
0.68125,0.12104
0.68281,0.12074
0.68437,0.12044
0.68594,0.12014
0.6875,0.11984
0.68906,0.11954
0.69063,0.11924
0.69219,0.11894
0.69375,0.11865
0.69531,0.11835
0.69688,0.11806
0.69844,0.11777
0.7,0.11747
0.70156,0.11718
0.70312,0.11689
0.70469,0.1166
0.70625,0.11631
0.70781,0.11602
0.70937,0.11574
0.71094,0.11545
0.7125,0.11516
0.71406,0.11488
0.71562,0.1146
0.71719,0.11431
0.71875,0.11403
0.72031,0.11375
0.72188,0.11347
0.72344,0.11319
0.725,0.11291
0.72656,0.11263
0.72813,0.11235
0.72969,0.11208
0.73125,0.1118
0.73281,0.11153
0.73438,0.11125
0.73594,0.11098
0.7375,0.11071
0.73906,0.11043
0.74062,0.11016
0.74219,0.10989
0.74375,0.10962
0.74531,0.10936
0.74687,0.10909
0.74844,0.10882
0.75,0.10855
0.75156,0.10829
0.75313,0.10802
0.75469,0.10776
0.75625,0.1075
0.75781,0.10723
0.75938,0.10697
0.76094,0.10671
0.7625,0.10645
0.76406,0.10619
0.76562,0.10593
0.76719,0.10568
0.76875,0.10542
0.77031,0.10516
0.77187,0.10491
0.77344,0.10465
0.775,0.1044
0.77656,0.10414
0.77812,0.10389
0.77969,0.10364
0.78125,0.10339
0.78281,0.10314
0.78438,0.10289
0.78594,0.10264
0.7875,0.10239
0.78906,0.10214
0.79063,0.10189
0.79219,0.10165
0.79375,0.1014
0.79531,0.10116
0.79688,0.10091
0.79844,0.10067
0.8,0.10042
0.80156,0.10018
0.80312,0.099941
0.80469,0.0997
0.80625,0.09946
0.80781,0.09922
0.80937,0.098981
0.81094,0.098743
0.8125,0.098505
0.81406,0.098268
0.81563,0.098032
0.81719,0.097797
0.81875,0.097562
0.82031,0.097327
0.82188,0.097094
0.82344,0.096861
0.825,0.096629
0.82656,0.096397
0.82812,0.096166
0.82969,0.095936
0.83125,0.095706
0.83281,0.095477
0.83437,0.095248
0.83594,0.09502
0.8375,0.094793
0.83906,0.094567
0.84062,0.094341
0.84219,0.094116
0.84375,0.093891
0.84531,0.093667
0.84688,0.093443
0.84844,0.093221
0.85,0.092998
0.85156,0.092777
0.85313,0.092556
0.85469,0.092335
0.85625,0.092116
0.85781,0.091897
0.85938,0.091678
0.86094,0.09146
0.8625,0.091243
0.86406,0.091026
0.86562,0.09081
0.86719,0.090594
0.86875,0.090379
0.87031,0.090165
0.87187,0.089951
0.87344,0.089738
0.875,0.089525
0.87656,0.089313
0.87813,0.089102
0.87969,0.088891
0.88125,0.088681
0.88281,0.088471
0.88438,0.088262
0.88594,0.088053
0.8875,0.087845
0.88906,0.087638
0.89062,0.087431
0.89219,0.087225
0.89375,0.087019
0.89531,0.086814
0.89687,0.086609
0.89844,0.086405
0.9,0.086201
0.90156,0.085998
0.90312,0.085796
0.90469,0.085594
0.90625,0.085393
0.90781,0.085192
0.90938,0.084992
0.91094,0.084792
0.9125,0.084593
0.91406,0.084394
0.91563,0.084196
0.91719,0.083998
0.91875,0.083801
0.92031,0.083605
0.92188,0.083409
0.92344,0.083214
0.925,0.083019
0.92656,0.082824
0.92812,0.08263
0.92969,0.082437
0.93125,0.082244
0.93281,0.082052
0.93437,0.08186
0.93594,0.081669
0.9375,0.081478
0.93906,0.081288
0.94063,0.081098
0.94219,0.080909
0.94375,0.08072
0.94531,0.080532
0.94688,0.080344
0.94844,0.080157
0.95,0.07997
0.95156,0.079783
0.95312,0.079598
0.95469,0.079412
0.95625,0.079228
0.95781,0.079043
0.95937,0.07886
0.96094,0.078676
0.9625,0.078493
0.96406,0.078311
0.96562,0.078129
0.96719,0.077948
0.96875,0.077767
0.97031,0.077587
0.97188,0.077407
0.97344,0.077227
0.975,0.077048
0.97656,0.07687
0.97813,0.076692
0.97969,0.076514
0.98125,0.076337
0.98281,0.07616
0.98438,0.075984
0.98594,0.075808
0.9875,0.075633
0.98906,0.075458
0.99062,0.075284
0.99219,0.07511
0.99375,0.074937
0.99531,0.074764
0.99687,0.074591
0.99844,0.074419
1,0.074247
