z,radEnergy
0,0.4956
0.0015625,0.49265
0.003125,0.48975
0.0046875,0.48688
0.00625,0.48405
0.0078125,0.48126
0.009375,0.4785
0.010937,0.47578
0.0125,0.47309
0.014063,0.47044
0.015625,0.46781
0.017188,0.46523
0.01875,0.46267
0.020313,0.46014
0.021875,0.45765
0.023438,0.45518
0.025,0.45275
0.026562,0.45034
0.028125,0.44797
0.029687,0.44562
0.03125,0.4433
0.032813,0.441
0.034375,0.43873
0.035937,0.43649
0.0375,0.43427
0.039062,0.43208
0.040625,0.42991
0.042188,0.42777
0.04375,0.42565
0.045312,0.42355
0.046875,0.42148
0.048438,0.41943
0.05,0.4174
0.051562,0.41539
0.053125,0.41341
0.054688,0.41144
0.05625,0.4095
0.057813,0.40757
0.059375,0.40567
0.060937,0.40378
0.0625,0.40192
0.064062,0.40007
0.065625,0.39824
0.067187,0.39643
0.06875,0.39464
0.070312,0.39287
0.071875,0.39111
0.073438,0.38937
0.075,0.38764
0.076563,0.38594
0.078125,0.38425
0.079687,0.38257
0.08125,0.38091
0.082812,0.37927
0.084375,0.37764
0.085938,0.37602
0.0875,0.37442
0.089063,0.37284
0.090625,0.37126
0.092188,0.36971
0.09375,0.36816
0.095312,0.36663
0.096875,0.36512
0.098437,0.36361
0.1,0.36212
0.10156,0.36064
0.10312,0.35918
0.10469,0.35772
0.10625,0.35628
0.10781,0.35485
0.10938,0.35343
0.11094,0.35202
0.1125,0.35063
0.11406,0.34924
0.11563,0.34787
0.11719,0.34651
0.11875,0.34516
0.12031,0.34382
0.12187,0.34248
0.12344,0.34116
0.125,0.33985
0.12656,0.33855
0.12812,0.33726
0.12969,0.33598
0.13125,0.33471
0.13281,0.33344
0.13437,0.33219
0.13594,0.33095
0.1375,0.32971
0.13906,0.32848
0.14062,0.32727
0.14219,0.32606
0.14375,0.32486
0.14531,0.32366
0.14688,0.32248
0.14844,0.3213
0.15,0.32014
0.15156,0.31898
0.15313,0.31782
0.15469,0.31668
0.15625,0.31554
0.15781,0.31441
0.15937,0.31329
0.16094,0.31218
0.1625,0.31107
0.16406,0.30997
0.16562,0.30887
0.16719,0.30779
0.16875,0.30671
0.17031,0.30563
0.17188,0.30457
0.17344,0.30351
0.175,0.30246
0.17656,0.30141
0.17813,0.30037
0.17969,0.29933
0.18125,0.29831
