z,N1,N3,N5
0.29375,22.31,22.31,22.31
0.29531,22.293,22.293,22.293
0.29688,22.276,22.276,22.276
0.29844,22.259,22.259,22.259
0.3,22.242,22.242,22.242
0.30156,22.225,22.225,22.225
0.30312,22.208,22.208,22.208
0.30469,22.191,22.191,22.191
0.30625,22.174,22.174,22.174
0.30781,22.157,22.157,22.157
0.30938,22.14,22.14,22.14
0.31094,22.123,22.123,22.123
0.3125,22.106,22.106,22.106
0.31406,22.088,22.088,22.088
0.31562,22.071,22.071,22.071
0.31719,22.054,22.054,22.054
0.31875,22.037,22.037,22.037
0.32031,22.02,22.02,22.02
0.32188,22.002,22.002,22.002
0.32344,21.985,21.985,21.985
0.325,21.968,21.968,21.968
0.32656,21.95,21.95,21.95
0.32812,21.933,21.933,21.933
0.32969,21.915,21.915,21.915
0.33125,21.898,21.898,21.898
0.33281,21.881,21.881,21.881
0.33437,21.863,21.863,21.863
0.33594,21.846,21.846,21.846
0.3375,21.828,21.828,21.828
0.33906,21.811,21.811,21.811
0.34063,21.793,21.793,21.793
0.34219,21.776,21.776,21.776
0.34375,21.758,21.758,21.758
0.34531,21.74,21.74,21.74
0.34687,21.723,21.723,21.723
0.34844,21.705,21.705,21.705
0.35,21.687,21.687,21.687
0.35156,21.67,21.67,21.67
0.35313,21.652,21.652,21.652
0.35469,21.634,21.634,21.634
0.35625,21.617,21.617,21.617
0.35781,21.599,21.599,21.599
0.35938,21.581,21.581,21.581
0.36094,21.563,21.563,21.563
0.3625,21.545,21.545,21.545
0.36406,21.528,21.528,21.528
0.36562,21.51,21.51,21.51
0.36719,21.492,21.492,21.492
0.36875,21.474,21.474,21.474
0.37031,21.456,21.456,21.456
0.37188,21.438,21.438,21.438
0.37344,21.42,21.42,21.42
0.375,21.402,21.402,21.402
0.37656,21.384,21.384,21.384
0.37812,21.366,21.366,21.366
0.37969,21.348,21.348,21.348
0.38125,21.33,21.33,21.33
0.38281,21.312,21.312,21.312
0.38438,21.294,21.294,21.294
0.38594,21.276,21.276,21.276
0.3875,21.257,21.257,21.257
0.38906,21.239,21.239,21.239
0.39062,21.221,21.221,21.221
0.39219,21.203,21.203,21.203
0.39375,21.185,21.185,21.185
0.39531,21.166,21.166,21.166
0.39687,21.148,21.148,21.148
0.39844,21.13,21.13,21.13
0.4,21.112,21.112,21.112
0.40156,21.093,21.093,21.093
0.40313,21.075,21.075,21.075
0.40469,21.056,21.056,21.056
0.40625,21.038,21.038,21.038
0.40781,21.02,21.02,21.02
0.40937,21.001,21.001,21.001
0.41094,20.983,20.983,20.983
0.4125,20.964,20.964,20.964
0.41406,20.946,20.946,20.946
0.41563,20.927,20.927,20.927
0.41719,20.909,20.909,20.909
0.41875,20.89,20.89,20.89
0.42031,20.872,20.872,20.872
0.42188,20.853,20.853,20.853
0.42344,20.834,20.834,20.834
0.425,20.816,20.816,20.816
0.42656,20.797,20.797,20.797
0.42812,20.778,20.778,20.778
0.42969,20.76,20.76,20.76
0.43125,20.741,20.741,20.741
0.43281,20.722,20.722,20.722
0.43438,20.703,20.703,20.703
0.43594,20.685,20.685,20.685
0.4375,20.666,20.666,20.666
0.43906,20.647,20.647,20.647
0.44062,20.628,20.628,20.628
0.44219,20.609,20.609,20.609
0.44375,20.59,20.59,20.59
0.44531,20.571,20.571,20.571
0.44688,20.553,20.553,20.553
0.44844,20.534,20.534,20.534
0.45,20.515,20.515,20.515
0.45156,20.496,20.496,20.496
0.45312,20.477,20.477,20.477
0.45469,20.458,20.458,20.458
0.45625,20.439,20.439,20.439
0.45781,20.419,20.419,20.419
0.45937,20.4,20.4,20.4
0.46094,20.381,20.381,20.381
0.4625,20.362,20.362,20.362
0.46406,20.343,20.343,20.343
0.46563,20.324,20.324,20.324
0.46719,20.305,20.305,20.305
0.46875,20.285,20.285,20.285
0.47031,20.266,20.266,20.266
0.47187,20.247,20.247,20.247
0.47344,20.228,20.228,20.228
0.475,20.208,20.208,20.208
0.47656,20.189,20.189,20.189
0.47813,20.17,20.17,20.17
0.47969,20.15,20.15,20.15
0.48125,20.131,20.131,20.131
0.48281,20.112,20.112,20.112
0.48438,20.092,20.092,20.092
0.48594,20.073,20.073,20.073
0.4875,20.053,20.053,20.053
0.48906,20.034,20.034,20.034
0.49062,20.014,20.014,20.014
0.49219,19.995,19.995,19.995
0.49375,19.975,19.975,19.975
0.49531,19.956,19.956,19.956
0.49688,19.936,19.936,19.936
0.49844,19.916,19.916,19.916
0.5,19.897,19.897,19.897
0.50156,19.877,19.877,19.877
0.50313,19.857,19.857,19.857
0.50469,19.838,19.838,19.838
0.50625,19.818,19.818,19.818
0.50781,19.798,19.798,19.798
0.50938,19.779,19.779,19.779
0.51094,19.759,19.759,19.759
0.5125,19.739,19.739,19.739
0.51406,19.719,19.719,19.719
0.51562,19.699,19.699,19.699
0.51719,19.68,19.68,19.68
0.51875,19.66,19.66,19.66
0.52031,19.64,19.64,19.64
0.52187,19.62,19.62,19.62
0.52344,19.6,19.6,19.6
0.525,19.58,19.58,19.58
0.52656,19.56,19.56,19.56
0.52812,19.54,19.54,19.54
0.52969,19.52,19.52,19.52
0.53125,19.5,19.5,19.5
0.53281,19.48,19.48,19.48
0.53438,19.46,19.46,19.46
0.53594,19.44,19.44,19.44
0.5375,19.42,19.42,19.42
0.53906,19.399,19.399,19.399
0.54063,19.379,19.379,19.379
0.54219,19.359,19.359,19.359
0.54375,19.339,19.339,19.339
0.54531,19.319,19.319,19.319
0.54688,19.299,19.299,19.299
0.54844,19.278,19.278,19.278
0.55,19.258,19.258,19.258
0.55156,19.238,19.238,19.238
0.55312,19.217,19.217,19.217
0.55469,19.197,19.197,19.197
0.55625,19.177,19.177,19.177
0.55781,19.156,19.156,19.156
0.55937,19.136,19.136,19.136
0.56094,19.115,19.115,19.115
0.5625,19.095,19.095,19.095
0.56406,19.075,19.075,19.075
0.56563,19.054,19.054,19.054
0.56719,19.034,19.034,19.034
0.56875,19.013,19.013,19.013
0.57031,18.992,18.992,18.992
0.57188,18.972,18.972,18.972
0.57344,18.951,18.951,18.951
0.575,18.931,18.931,18.931
0.57656,18.91,18.91,18.91
0.57812,18.889,18.889,18.889
0.57969,18.869,18.869,18.869
0.58125,18.848,18.848,18.848
0.58281,18.827,18.827,18.827
0.58437,18.807,18.807,18.807
0.58594,18.786,18.786,18.786
0.5875,18.765,18.765,18.765
0.58906,18.744,18.744,18.744
0.59062,18.724,18.724,18.724
0.59219,18.703,18.703,18.703
0.59375,18.682,18.682,18.682
0.59531,18.661,18.661,18.661
0.59688,18.64,18.64,18.64
0.59844,18.619,18.619,18.619
0.6,18.598,18.598,18.598
0.60156,18.577,18.577,18.577
0.60313,18.556,18.556,18.556
0.60469,18.535,18.535,18.535
0.60625,18.514,18.514,18.514
0.60781,18.493,18.493,18.493
0.60938,18.472,18.472,18.472
0.61094,18.451,18.451,18.451
0.6125,18.43,18.43,18.43
0.61406,18.409,18.409,18.409
0.61562,18.388,18.388,18.388
0.61719,18.367,18.367,18.367
0.61875,18.345,18.345,18.345
0.62031,18.324,18.324,18.324
0.62187,18.303,18.303,18.303
0.62344,18.282,18.282,18.282
0.625,18.261,18.261,18.261
0.62656,18.239,18.239,18.239
0.62813,18.218,18.218,18.218
0.62969,18.197,18.197,18.197
0.63125,18.175,18.175,18.175
0.63281,18.154,18.154,18.154
0.63438,18.133,18.133,18.133
0.63594,18.111,18.111,18.111
0.6375,18.09,18.09,18.09
0.63906,18.068,18.068,18.068
0.64062,18.047,18.047,18.047
0.64219,18.025,18.025,18.025
0.64375,18.004,18.004,18.004
0.64531,17.982,17.982,17.982
0.64687,17.961,17.961,17.961
0.64844,17.939,17.939,17.939
0.65,17.918,17.918,17.918
0.65156,17.896,17.896,17.896
0.65312,17.874,17.874,17.874
0.65469,17.853,17.853,17.853
0.65625,17.831,17.831,17.831
0.65781,17.809,17.809,17.809
0.65938,17.788,17.788,17.788
0.66094,17.766,17.766,17.766
0.6625,17.744,17.744,17.744
0.66406,17.722,17.722,17.722
0.66563,17.701,17.701,17.701
0.66719,17.679,17.679,17.679
0.66875,17.657,17.657,17.657
0.67031,17.635,17.635,17.635
0.67188,17.613,17.613,17.613
0.67344,17.591,17.591,17.591
0.675,17.569,17.569,17.569
0.67656,17.547,17.547,17.547
0.67812,17.525,17.525,17.525
0.67969,17.503,17.503,17.503
0.68125,17.481,17.481,17.481
0.68281,17.459,17.459,17.459
0.68437,17.437,17.437,17.437
0.68594,17.415,17.415,17.415
0.6875,17.393,17.393,17.393
0.68906,17.371,17.371,17.371
0.69063,17.349,17.349,17.349
0.69219,17.327,17.327,17.327
0.69375,17.305,17.305,17.305
0.69531,17.283,17.283,17.283
0.69688,17.26,17.26,17.26
0.69844,17.238,17.238,17.238
0.7,17.216,17.216,17.216
0.70156,17.194,17.194,17.194
0.70312,17.171,17.171,17.171
0.70469,17.149,17.149,17.149
0.70625,17.127,17.127,17.127
0.70781,17.104,17.104,17.104
0.70937,17.082,17.082,17.082
0.71094,17.06,17.06,17.06
0.7125,17.037,17.037,17.037
0.71406,17.015,17.015,17.015
0.71562,16.992,16.992,16.992
0.71719,16.97,16.97,16.97
0.71875,16.947,16.947,16.947
0.72031,16.925,16.925,16.925
0.72188,16.902,16.902,16.902
0.72344,16.88,16.88,16.88
0.725,16.857,16.857,16.857
0.72656,16.835,16.835,16.835
0.72813,16.812,16.812,16.812
0.72969,16.789,16.789,16.789
0.73125,16.767,16.767,16.767
0.73281,16.744,16.744,16.744
0.73438,16.721,16.721,16.721
0.73594,16.699,16.699,16.699
0.7375,16.676,16.676,16.676
0.73906,16.653,16.653,16.653
0.74062,16.63,16.63,16.63
0.74219,16.608,16.608,16.608
0.74375,16.585,16.585,16.585
0.74531,16.562,16.562,16.562
0.74687,16.539,16.539,16.539
0.74844,16.516,16.516,16.516
0.75,16.493,16.493,16.493
0.75156,16.47,16.47,16.47
0.75313,16.448,16.448,16.448
0.75469,16.425,16.425,16.425
0.75625,16.402,16.402,16.402
0.75781,16.379,16.379,16.379
0.75938,16.356,16.356,16.356
0.76094,16.333,16.333,16.333
0.7625,16.309,16.309,16.309
0.76406,16.286,16.286,16.286
0.76562,16.263,16.263,16.263
0.76719,16.24,16.24,16.24
0.76875,16.217,16.217,16.217
0.77031,16.194,16.194,16.194
0.77187,16.171,16.171,16.171
0.77344,16.147,16.147,16.147
0.775,16.124,16.124,16.124
0.77656,16.101,16.101,16.101
0.77812,16.078,16.078,16.078
0.77969,16.054,16.054,16.054
0.78125,16.031,16.031,16.031
0.78281,16.008,16.008,16.008
0.78438,15.984,15.984,15.984
0.78594,15.961,15.961,15.961
0.7875,15.938,15.938,15.938
0.78906,15.914,15.914,15.914
0.79063,15.891,15.891,15.891
0.79219,15.867,15.867,15.867
0.79375,15.844,15.844,15.844
0.79531,15.82,15.82,15.82
0.79688,15.797,15.797,15.797
0.79844,15.773,15.773,15.773
0.8,15.75,15.75,15.75
0.80156,15.726,15.726,15.726
0.80312,15.703,15.703,15.703
0.80469,15.679,15.679,15.679
0.80625,15.655,15.655,15.655
0.80781,15.632,15.632,15.632
0.80937,15.608,15.608,15.608
0.81094,15.584,15.584,15.584
0.8125,15.561,15.561,15.561
0.81406,15.537,15.537,15.537
0.81563,15.513,15.513,15.513
0.81719,15.489,15.489,15.489
0.81875,15.466,15.466,15.466
0.82031,15.442,15.442,15.442
0.82188,15.418,15.418,15.418
0.82344,15.394,15.394,15.394
0.825,15.37,15.37,15.37
0.82656,15.346,15.346,15.346
0.82812,15.322,15.322,15.322
0.82969,15.298,15.298,15.298
0.83125,15.275,15.275,15.275
0.83281,15.251,15.251,15.251
0.83437,15.227,15.227,15.227
0.83594,15.203,15.203,15.203
0.8375,15.178,15.178,15.178
0.83906,15.154,15.154,15.154
0.84062,15.13,15.13,15.13
0.84219,15.106,15.106,15.106
0.84375,15.082,15.082,15.082
0.84531,15.058,15.058,15.058
0.84688,15.034,15.034,15.034
0.84844,15.01,15.01,15.01
0.85,14.985,14.985,14.985
0.85156,14.961,14.961,14.961
0.85313,14.937,14.937,14.937
0.85469,14.913,14.913,14.913
0.85625,14.888,14.888,14.888
0.85781,14.864,14.864,14.864
0.85938,14.84,14.84,14.84
0.86094,14.815,14.815,14.815
0.8625,14.791,14.791,14.791
0.86406,14.767,14.767,14.767
0.86562,14.742,14.742,14.742
0.86719,14.718,14.718,14.718
0.86875,14.693,14.693,14.693
0.87031,14.669,14.669,14.669
0.87187,14.644,14.644,14.644
0.87344,14.62,14.62,14.62
0.875,14.595,14.595,14.595
0.87656,14.571,14.571,14.571
0.87813,14.546,14.546,14.546
0.87969,14.522,14.522,14.522
0.88125,14.497,14.497,14.497
0.88281,14.472,14.472,14.472
0.88438,14.448,14.448,14.448
0.88594,14.423,14.423,14.423
0.8875,14.398,14.398,14.398
0.88906,14.374,14.374,14.374
0.89062,14.349,14.349,14.349
0.89219,14.324,14.324,14.324
0.89375,14.299,14.299,14.299
0.89531,14.275,14.275,14.275
0.89687,14.25,14.25,14.25
0.89844,14.225,14.225,14.225
0.9,14.2,14.2,14.2
0.90156,14.175,14.175,14.175
0.90312,14.15,14.15,14.15
0.90469,14.125,14.125,14.125
0.90625,14.1,14.1,14.1
0.90781,14.075,14.075,14.075
0.90938,14.05,14.05,14.05
0.91094,14.025,14.025,14.025
0.9125,14,14,14
0.91406,13.975,13.975,13.975
0.91563,13.95,13.95,13.95
0.91719,13.925,13.925,13.925
0.91875,13.9,13.9,13.9
0.92031,13.875,13.875,13.875
0.92188,13.85,13.85,13.85
0.92344,13.825,13.825,13.825
0.925,13.799,13.799,13.799
0.92656,13.774,13.774,13.774
0.92812,13.749,13.749,13.749
0.92969,13.724,13.724,13.724
0.93125,13.698,13.698,13.698
0.93281,13.673,13.673,13.673
0.93437,13.648,13.648,13.648
0.93594,13.623,13.623,13.623
0.9375,13.597,13.597,13.597
0.93906,13.572,13.572,13.572
0.94063,13.546,13.546,13.546
0.94219,13.521,13.521,13.521
0.94375,13.496,13.496,13.496
0.94531,13.47,13.47,13.47
0.94688,13.445,13.445,13.445
0.94844,13.419,13.419,13.419
0.95,13.394,13.394,13.394
0.95156,13.368,13.368,13.368
0.95312,13.343,13.343,13.343
0.95469,13.317,13.317,13.317
0.95625,13.291,13.291,13.291
0.95781,13.266,13.266,13.266
0.95937,13.24,13.24,13.24
0.96094,13.214,13.214,13.214
0.9625,13.189,13.189,13.189
0.96406,13.163,13.163,13.163
0.96562,13.137,13.137,13.137
0.96719,13.112,13.112,13.112
0.96875,13.086,13.086,13.086
0.97031,13.06,13.06,13.06
0.97188,13.034,13.034,13.034
0.97344,13.008,13.008,13.008
0.975,12.983,12.983,12.983
0.97656,12.957,12.957,12.957
0.97813,12.931,12.931,12.931
0.97969,12.905,12.905,12.905
0.98125,12.879,12.879,12.879
0.98281,12.853,12.853,12.853
0.98438,12.827,12.827,12.827
0.98594,12.801,12.801,12.801
0.9875,12.775,12.775,12.775
0.98906,12.749,12.749,12.749
0.99062,12.723,12.723,12.723
0.99219,12.697,12.697,12.697
0.99375,12.671,12.671,12.671
0.99531,12.645,12.645,12.645
0.99687,12.619,12.619,12.619
0.99844,12.593,12.593,12.593
1,12.566,12.566,12.566
