z,N1,N3,N5,N7,N9,N11,N13,N15,N17,N19,N21
0.36719,1.9382,1.6137,1.6363,1.6415,1.6431,1.6436,1.6436,1.6434,1.6431,1.6427,1.6424
0.36875,1.937,1.6129,1.6356,1.6408,1.6424,1.6429,1.6429,1.6427,1.6424,1.642,1.6417
0.37031,1.9358,1.6121,1.6349,1.6401,1.6417,1.6422,1.6422,1.642,1.6417,1.6414,1.6411
0.37188,1.9346,1.6113,1.6341,1.6393,1.641,1.6415,1.6415,1.6413,1.641,1.6407,1.6404
0.37344,1.9335,1.6105,1.6334,1.6386,1.6403,1.6408,1.6408,1.6406,1.6403,1.64,1.6397
0.375,1.9323,1.6097,1.6327,1.6379,1.6396,1.6402,1.6402,1.64,1.6397,1.6393,1.639
0.37656,1.9311,1.6089,1.6319,1.6372,1.639,1.6395,1.6395,1.6393,1.639,1.6387,1.6384
0.37812,1.9299,1.6081,1.6312,1.6365,1.6383,1.6388,1.6388,1.6386,1.6383,1.638,1.6377
0.37969,1.9288,1.6073,1.6305,1.6358,1.6376,1.6381,1.6381,1.638,1.6377,1.6373,1.637
0.38125,1.9276,1.6065,1.6298,1.6351,1.6369,1.6374,1.6375,1.6373,1.637,1.6367,1.6364
0.38281,1.9264,1.6057,1.6291,1.6344,1.6362,1.6368,1.6368,1.6366,1.6363,1.636,1.6357
0.38438,1.9253,1.6049,1.6283,1.6338,1.6355,1.6361,1.6361,1.636,1.6357,1.6354,1.6351
0.38594,1.9241,1.6041,1.6276,1.6331,1.6349,1.6354,1.6355,1.6353,1.635,1.6347,1.6344
0.3875,1.923,1.6034,1.6269,1.6324,1.6342,1.6348,1.6348,1.6346,1.6344,1.6341,1.6338
0.38906,1.9218,1.6026,1.6262,1.6317,1.6335,1.6341,1.6342,1.634,1.6337,1.6334,1.6331
0.39062,1.9207,1.6018,1.6255,1.631,1.6328,1.6334,1.6335,1.6333,1.6331,1.6328,1.6325
0.39219,1.9195,1.601,1.6248,1.6303,1.6322,1.6328,1.6329,1.6327,1.6324,1.6321,1.6318
0.39375,1.9184,1.6003,1.6241,1.6296,1.6315,1.6321,1.6322,1.632,1.6318,1.6315,1.6312
0.39531,1.9173,1.5995,1.6234,1.629,1.6308,1.6315,1.6316,1.6314,1.6311,1.6308,1.6306
0.39687,1.9162,1.5987,1.6227,1.6283,1.6302,1.6308,1.6309,1.6308,1.6305,1.6302,1.6299
0.39844,1.915,1.598,1.622,1.6276,1.6295,1.6302,1.6303,1.6301,1.6299,1.6296,1.6293
0.4,1.9139,1.5972,1.6213,1.6269,1.6289,1.6295,1.6296,1.6295,1.6292,1.6289,1.6287
0.40156,1.9128,1.5964,1.6206,1.6263,1.6282,1.6289,1.629,1.6288,1.6286,1.6283,1.628
0.40313,1.9117,1.5957,1.6199,1.6256,1.6276,1.6282,1.6283,1.6282,1.628,1.6277,1.6274
0.40469,1.9106,1.5949,1.6192,1.6249,1.6269,1.6276,1.6277,1.6276,1.6273,1.6271,1.6268
0.40625,1.9095,1.5942,1.6185,1.6243,1.6263,1.6269,1.6271,1.6269,1.6267,1.6264,1.6262
0.40781,1.9084,1.5934,1.6178,1.6236,1.6256,1.6263,1.6264,1.6263,1.6261,1.6258,1.6256
0.40937,1.9073,1.5927,1.6171,1.623,1.625,1.6257,1.6258,1.6257,1.6255,1.6252,1.6249
0.41094,1.9062,1.5919,1.6164,1.6223,1.6243,1.625,1.6252,1.6251,1.6249,1.6246,1.6243
0.4125,1.9051,1.5912,1.6158,1.6216,1.6237,1.6244,1.6246,1.6245,1.6242,1.624,1.6237
0.41406,1.904,1.5904,1.6151,1.621,1.623,1.6238,1.6239,1.6238,1.6236,1.6234,1.6231
0.41563,1.9029,1.5897,1.6144,1.6203,1.6224,1.6231,1.6233,1.6232,1.623,1.6228,1.6225
0.41719,1.9019,1.5889,1.6137,1.6197,1.6218,1.6225,1.6227,1.6226,1.6224,1.6222,1.6219
0.41875,1.9008,1.5882,1.6131,1.619,1.6211,1.6219,1.6221,1.622,1.6218,1.6216,1.6213
0.42031,1.8997,1.5875,1.6124,1.6184,1.6205,1.6213,1.6215,1.6214,1.6212,1.621,1.6207
0.42188,1.8987,1.5867,1.6117,1.6177,1.6199,1.6206,1.6208,1.6208,1.6206,1.6204,1.6201
0.42344,1.8976,1.586,1.611,1.6171,1.6192,1.62,1.6202,1.6202,1.62,1.6198,1.6195
